italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
requisire,to requisition,sto requisendo,I am requisitioning,stai requisendo,you are requisitioning,sta requisendo,he/she is requisitioning,stiamo requisendo,we are requisitioning,state requisendo,you all are requisitioning,stanno requisendo,they are requisitioning
strappare,to tear/rip,sto strappando,I am tearing,stai strappando,you are tearing,sta strappando,he/she is tearing,stiamo strappando,we are tearing,state strappando,you all are tearing,stanno strappando,they are tearing
assimilare,to assimilate,sto assimilando,I am assimilating,stai assimilando,you are assimilating,sta assimilando,he/she is assimilating,stiamo assimilando,we are assimilating,state assimilando,you all are assimilating,stanno assimilando,they are assimilating
abbinare,to match/combine,sto abbinando,I am matching,stai abbinando,you are matching,sta abbinando,he/she is matching,stiamo abbinando,we are matching,state abbinando,you all are matching,stanno abbinando,they are matching
evocare,to evoke,sto evocando,I am evoking,stai evocando,you are evoking,sta evocando,he/she is evoking,stiamo evocando,we are evoking,state evocando,you all are evoking,stanno evocando,they are evoking
impazzire,to go crazy,sto impazzendo,I am going crazy,stai impazzendo,you are going crazy,sta impazzendo,he/she is going crazy,stiamo impazzendo,we are going crazy,state impazzendo,you all are going crazy,stanno impazzendo,they are going crazy
perdonare,to forgive,sto perdonando,I am forgiving,stai perdonando,you are forgiving,sta perdonando,he/she is forgiving,stiamo perdonando,we are forgiving,state perdonando,you all are forgiving,stanno perdonando,they are forgiving
lavare,to wash,sto lavando,I am washing,stai lavando,you are washing,sta lavando,he/she is washing,stiamo lavando,we are washing,state lavando,you all are washing,stanno lavando,they are washing
alternare,to alternate,sto alternando,I am alternating,stai alternando,you are alternating,sta alternando,he/she is alternating,stiamo alternando,we are alternating,state alternando,you all are alternating,stanno alternando,they are alternating
proibire,to prohibit,sto proibendo,I am prohibiting,stai proibendo,you are prohibiting,sta proibendo,he/she is prohibiting,stiamo proibendo,we are prohibiting,state proibendo,you all are prohibiting,stanno proibendo,they are prohibiting
ristrutturare,to restructure/renovate,sto ristrutturando,I am renovating,stai ristrutturando,you are renovating,sta ristrutturando,he/she is renovating,stiamo ristrutturando,we are renovating,state ristrutturando,you all are renovating,stanno ristrutturando,they are renovating
circolare,to circulate,sto circolando,I am circulating,stai circolando,you are circulating,sta circolando,he/she is circulating,stiamo circolando,we are circulating,state circolando,you all are circulating,stanno circolando,they are circulating
accomunare,to unite/share,sto accomunando,I am uniting,stai accomunando,you are uniting,sta accomunando,he/she is uniting,stiamo accomunando,we are uniting,state accomunando,you all are uniting,stanno accomunando,they are uniting
incorrere,to incur,sto incorrendo,I am incurring,stai incorrendo,you are incurring,sta incorrendo,he/she is incurring,stiamo incorrendo,we are incurring,state incorrendo,you all are incurring,stanno incorrendo,they are incurring
staccare,to detach,sto staccando,I am detaching,stai staccando,you are detaching,sta staccando,he/she is detaching,stiamo staccando,we are detaching,state staccando,you all are detaching,stanno staccando,they are detaching
sarare,to fence in,sto sarando,I am sanding,stai sarando,you are sanding,sta sarando,he/she is sanding,stiamo sarando,we are sanding,state sarando,you all are sanding,stanno sarando,they are sanding
ricadere,to fall back,sto ricadendo,I am relapsing,stai ricadendo,you are relapsing,sta ricadendo,he/she is relapsing,stiamo ricadendo,we are relapsing,state ricadendo,you all are relapsing,stanno ricadendo,they are relapsing
armonizzare,to harmonize,sto armonizzando,I am harmonizing,stai armonizzando,you are harmonizing,sta armonizzando,he/she is harmonizing,stiamo armonizzando,we are harmonizing,state armonizzando,you all are harmonizing,stanno armonizzando,they are harmonizing
differenziare,to differentiate,sto differenziando,I am differentiating,stai differenziando,you are differentiating,sta differenziando,he/she is differentiating,stiamo differenziando,we are differentiating,state differenziando,you all are differentiating,stanno differenziando,they are differentiating
sacrificare,to sacrifice,sto sacrificando,I am sacrificing,stai sacrificando,you are sacrificing,sta sacrificando,he/she is sacrificing,stiamo sacrificando,we are sacrificing,state sacrificando,you all are sacrificing,stanno sacrificando,they are sacrificing
ruotare,to rotate,sto ruotando,I am rotating,stai ruotando,you are rotating,sta ruotando,he/she is rotating,stiamo ruotando,we are rotating,state ruotando,you all are rotating,stanno ruotando,they are rotating
esimere,to exempt,sto esimendo,I am exempting,stai esimendo,you are exempting,sta esimendo,he/she is exempting,stiamo esimendo,we are exempting,state esimendo,you all are exempting,stanno esimendo,they are exempting
subìre,to undergo/suffer,sto subendo,I am undergoing,stai subendo,you are undergoing,sta subendo,he/she is undergoing,stiamo subendo,we are undergoing,state subendo,you all are undergoing,stanno subendo,they are undergoing
subìtare,to cause to undergo,sto subitando,I am subiting,stai subitando,you are subiting,sta subitando,he/she is subiting,stiamo subitando,we are subiting,state subitando,you all are subiting,stanno subitando,they are subiting
adire,to approach/resort to,sto adendo,I am approaching,stai adendo,you are approaching,sta adendo,he/she is approaching,stiamo adendo,we are approaching,state adendo,you all are approaching,stanno adendo,they are approaching
presumere,to presume,sto presumendo,I am presuming,stai presumendo,you are presuming,sta presumendo,he/she is presuming,stiamo presumendo,we are presuming,state presumendo,you all are presuming,stanno presumendo,they are presuming
licenziare,to fire/dismiss,sto licenziando,I am dismissing,stai licenziando,you are dismissing,sta licenziando,he/she is dismissing,stiamo licenziando,we are dismissing,state licenziando,you all are dismissing,stanno licenziando,they are dismissing
deputare,to depute,sto deputando,I am deputizing,stai deputando,you are deputizing,sta deputando,he/she is deputizing,stiamo deputando,we are deputizing,state deputando,you all are deputizing,stanno deputando,they are deputizing
complicare,to complicate,sto complicando,I am complicating,stai complicando,you are complicating,sta complicando,he/she is complicating,stiamo complicando,we are complicating,state complicando,you all are complicating,stanno complicando,they are complicating
recensire,to review,sto recensendo,I am reviewing,stai recensendo,you are reviewing,sta recensendo,he/she is reviewing,stiamo recensendo,we are reviewing,state recensendo,you all are reviewing,stanno recensendo,they are reviewing
travolgere,to overwhelm/run over,sto travolgendo,I am overwhelming,stai travolgendo,you are overwhelming,sta travolgendo,he/she is overwhelming,stiamo travolgendo,we are overwhelming,state travolgendo,you all are overwhelming,stanno travolgendo,they are overwhelming
spuntare,to appear/trim,sto spuntando,I am appearing,stai spuntando,you are appearing,sta spuntando,he/she is appearing,stiamo spuntando,we are appearing,state spuntando,you all are appearing,stanno spuntando,they are appearing
digitare,to type,sto digitando,I am typing,stai digitando,you are typing,sta digitando,he/she is typing,stiamo digitando,we are typing,state digitando,you all are typing,stanno digitando,they are typing
rammentare,to remind,sto rammentando,I am remembering,stai rammentando,you are remembering,sta rammentando,he/she is remembering,stiamo rammentando,we are remembering,state rammentando,you all are remembering,stanno rammentando,they are remembering
contrarre,to contract,sto contraendo,I am contracting,stai contraendo,you are contracting,sta contraendo,he/she is contracting,stiamo contraendo,we are contracting,state contraendo,you all are contracting,stanno contraendo,they are contracting
esagerare,to exaggerate,sto esagerando,I am exaggerating,stai esagerando,you are exaggerating,sta esagerando,he/she is exaggerating,stiamo esagerando,we are exaggerating,state esagerando,you all are exaggerating,stanno esagerando,they are exaggerating
bocciare,to fail/reject,sto bocciando,I am failing,stai bocciando,you are failing,sta bocciando,he/she is failing,stiamo bocciando,we are failing,state bocciando,you all are failing,stanno bocciando,they are failing
divulgare,to divulge,sto divulgando,I am disclosing,stai divulgando,you are disclosing,sta divulgando,he/she is disclosing,stiamo divulgando,we are disclosing,state divulgando,you all are disclosing,stanno divulgando,they are disclosing
moltiplicare,to multiply,sto moltiplicando,I am multiplying,stai moltiplicando,you are multiplying,sta moltiplicando,he/she is multiplying,stiamo moltiplicando,we are multiplying,state moltiplicando,you all are multiplying,stanno moltiplicando,they are multiplying
interferire,to interfere,sto interferendo,I am interfering,stai interferendo,you are interfering,sta interferendo,he/she is interfering,stiamo interferendo,we are interfering,state interferendo,you all are interfering,stanno interferendo,they are interfering
alleviare,to alleviate,sto alleviando,I am relieving,stai alleviando,you are relieving,sta alleviando,he/she is relieving,stiamo alleviando,we are relieving,state alleviando,you all are relieving,stanno alleviando,they are relieving
scavare,to dig,sto scavando,I am digging,stai scavando,you are digging,sta scavando,he/she is digging,stiamo scavando,we are digging,state scavando,you all are digging,stanno scavando,they are digging
invertire,to reverse,sto invertendo,I am reversing,stai invertendo,you are reversing,sta invertendo,he/she is reversing,stiamo invertendo,we are reversing,state invertendo,you all are reversing,stanno invertendo,they are reversing
legittimare,to legitimize,sto legittimando,I am legitimizing,stai legittimando,you are legitimizing,sta legittimando,he/she is legitimizing,stiamo legittimando,we are legitimizing,state legittimando,you all are legitimizing,stanno legittimando,they are legitimizing
ridefinire,to redefine,sto ridefinendo,I am redefining,stai ridefinendo,you are redefining,sta ridefinendo,he/she is redefining,stiamo ridefinendo,we are redefining,state ridefinendo,you all are redefining,stanno ridefinendo,they are redefining
